proposalId,originName,destinationName,wagonName,departureDateTime,arrivalDateTime,cost,fullPrice,isCompartment,compartmentCapacity,hasAirCondition,hasMedia,hasMedia,companyName,hasDiscount,isSpecialOffer,hasFreeFood,hasFoodOffer,isCharter,wagonClass,isFamilyCoupe,isTransitCar
11669979464,تهران,مشهد,4 ستاره 4 تخته سروش ,2024-04-28T19:05:00,2024-04-29T06:35:00,3870500,3870500,True,4,True,True,True,بن ريل,False,False,False,False,False,EC,False,False
11669979467,تهران,مشهد,4 ستاره غزال با پذيرايي عصرانه ,2024-04-28T21:30:00,2024-04-29T08:15:00,4918000,4918000,True,4,True,True,True,بن ريل,False,False,False,False,False,V,False,False
11669979468,تهران,مشهد,4 ستاره 4 تخته غزال ,2024-04-28T21:30:00,2024-04-29T08:15:00,3922000,3922000,True,4,True,True,True,بن ريل,False,False,False,False,False,EC,False,False
11669979465,تهران,مشهد,4ستاره 4 تخته غدير,2024-04-28T20:10:00,2024-04-29T07:15:00,4469500,4469500,True,4,True,True,True,ريل ترابر سبا,False,False,False,False,False,EC,False,False
11669979470,تهران,مشهد,4 ستاره غزال,2024-04-28T22:10:00,2024-04-29T08:55:00,3814500,3814500,True,4,True,True,True,پارس لاریم,False,False,False,False,False,EC,False,False
11669979462,تهران,مشهد,5ستاره اكونومي پلاس فدك-ريل گردش,2024-04-28T17:10:00,2024-04-29T04:25:00,7920000,7920000,True,4,True,True,True,فدک,False,False,False,False,False,LX,False,False
11669979469,تهران,مشهد,5ستاره اكونومي پلاس فدك,2024-04-28T21:50:00,2024-04-29T08:35:00,7920000,7920000,True,4,True,True,True, فدک,False,False,False,False,False,V,False,False
11669979473,تهران,مشهد,5ستاره فدك باصبحانه سردوگرم-فطرس,2024-04-28T23:25:00,2024-04-29T10:20:00,7884500,7884500,True,4,True,True,True,فدک,False,False,False,False,False,LX,False,False
11669979451,تهران,مشهد,3ستاره6تخته پارسي,2024-04-28T03:55:00,2024-04-28T15:25:00,2230500,2230500,True,6,True,False,False,رجا,False,False,False,False,False,EL,False,False
11669979452,تهران,مشهد,4ستاره4تخته اميد,2024-04-28T03:55:00,2024-04-28T15:25:00,3333000,3333000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979455,تهران,مشهد,4ستاره 4تخته سرير,2024-04-28T14:55:00,2024-04-29T01:40:00,4754000,4754000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979456,تهران,مشهد,4 ستاره سرير با هتل اختياري,2024-04-28T14:55:00,2024-04-29T01:40:00,4754000,4754000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979457,تهران,مشهد,4ستاره4تخته سپهر,2024-04-28T15:55:00,2024-04-29T02:30:00,4040500,4040500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979458,تهران,مشهد,4 ستاره سپهر با هتل اختياري,2024-04-28T15:55:00,2024-04-29T02:30:00,4040500,4040500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979459,تهران,مشهد,4ستاره 4تخته سبز نوين,2024-04-28T16:55:00,2024-04-29T03:40:00,4950500,4950500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979460,تهران,مشهد,4ستاره 4تخته سيمرغ نوين,2024-04-28T16:55:00,2024-04-29T03:40:00,4950500,4950500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979461,تهران,مشهد,4ستاره 4تخته سيمرغ,2024-04-28T16:55:00,2024-04-29T03:40:00,3508500,3508500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
