id,name,type,province,city,lat,long,region,placeType,buildingSize,bedrooms,bathrooms,iranianToilets,toilets,reservation_type,reviewsCount,reviewsScore,baseCapacity,extraCapacity,mainPrice,discount,finalPrice
6412d5e351ffa4001c628c39,اجاره آپارتمان دوخوابه ایوان بوتیک,apartment,هرمزگان,کیش,26.54352152820785,54.005699254538676,city,personalRoom,90.0,2.0,2.0,0.0,2.0,instant,47.0,4.6,4.0,1.0,25000000.0,0.0,25000000.0
641842718ce288001bdce74b,اجاره آپارتمان دوخوابه والفجر 2,apartment,فارس,شیراز,29.600833789393292,52.451594062149525,city,personalRoom,120.0,2.0,1.0,1.0,0.0,instant,3.0,4.7,4.0,2.0,15000000.0,0.0,15000000.0
65abd5fe5ecb74001ba7b1b0,اجاره آپارتمان دوخوابه بهاران واحد 1 معالی آباد,apartment,فارس,شیراز,29.672802359440947,52.455811835825436,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,10.0,4.5,4.0,1.0,15000000.0,0.0,15000000.0
64d6002df75a47001bafe96f,اجاره آپارتمان دوخوابه نوجوان 1,apartment,فارس,شیراز,29.62964190224921,52.51800891011953,city,unitRoom,90.0,2.0,1.0,1.0,0.0,instant,77.0,4.1,4.0,2.0,30000000.0,50.0,15000000.0
65abfa6ffa286a001b728cfd,اجاره آپارتمان دوخوابه میرزای شیرازی واحد ۶,apartment,فارس,شیراز,29.697296,52.465107,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,8.0,4.4,4.0,1.0,15000000.0,0.0,15000000.0
65d7a5dc3fbc9b001be708f8,اجاره آپارتمان یک خوابه آتیه 1,apartment,فارس,شیراز,29.750823967796485,52.4127546697855,city,personalRoom,75.0,1.0,1.0,1.0,0.0,preApprove,2.0,5.0,4.0,0.0,15000000.0,5.0,14250000.0
65ed52b40a1cf5001b399b7c,اجاره آپارتمان دوخوابه درفام واحد 104,apartment,فارس,شیراز,29.62189205140068,52.53784719854593,city,personalRoom,75.0,2.0,1.0,1.0,1.0,preApprove,2.0,5.0,4.0,4.0,20000000.0,0.0,20000000.0
6415ecdc765437001deb5350,اجاره آپارتمان دوخوابه کاراندیش ۳,apartment,فارس,شیراز,29.615668656687227,52.565395161509514,city,personalRoom,100.0,2.0,1.0,1.0,1.0,instant,16.0,4.0,4.0,0.0,11000000.0,0.0,11000000.0
641b1aeec7360f001d91c757,آپارتمان دوخوابه هجرت - واحد 213,apartment,فارس,شیراز,29.621649266931968,52.54827059805393,city,unitRoom,110.0,2.0,1.0,1.0,1.0,preApprove,19.0,4.5,4.0,2.0,20000000.0,0.0,20000000.0
658ae69ed0dda7001b1f91c1,اجاره آپارتمان سه خوابه رز 4,apartment,فارس,شیراز,29.638813,52.474945,city,personalRoom,170.0,3.0,1.0,1.0,1.0,preApprove,9.0,4.4,6.0,4.0,25000000.0,0.0,25000000.0
61d400bf9bba74001c10613c,اجاره آپارتمان دوخوابه فرهنگ شهر,apartment,فارس,شیراز,29.650203469177367,52.45705772191286,city,unitRoom,90.0,2.0,1.0,1.0,1.0,preApprove,10.0,4.2,4.0,2.0,16000000.0,15.0,13600000.0
646b90a4099469001bf32c29,اجاره آپارتمان دوخوابه باغ آراد 2,apartment,مازندران,شیرود,36.84739385147029,50.812893435359,city,personalRoom,100.0,2.0,1.0,1.0,1.0,preApprove,0.0,0.0,4.0,0.0,12000000.0,0.0,12000000.0
65e3363182acda001ca2417e,اجاره آپارتمان دوخوابه همت 1,apartment,فارس,شیراز,29.635805276237093,52.460686415433884,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,1.0,5.0,4.0,2.0,20000000.0,0.0,20000000.0
65ec8e2076d8b4001c40166b,اجاره آپارتمان دوخوابه درفام واحد 304,apartment,فارس,شیراز,29.621883016214856,52.53782473504543,city,personalRoom,75.0,2.0,1.0,1.0,1.0,preApprove,3.0,4.0,4.0,4.0,20000000.0,0.0,20000000.0
65edbfa1aa38e0001b94d685,اجاره آپارتمان یک خوابه درفام واحد 101,apartment,فارس,شیراز,29.621942182094475,52.53785356879234,city,personalRoom,65.0,1.0,1.0,1.0,1.0,preApprove,2.0,4.5,3.0,2.0,18000000.0,0.0,18000000.0
64823a43c903a7001be4215b,اجاره آپارتمان دوخوابه بهاران نصر,apartment,فارس,شیراز,29.59739060582763,52.58653733879328,city,personalRoom,150.0,2.0,1.0,1.0,1.0,instant,25.0,4.1,4.0,2.0,14000000.0,0.0,14000000.0
64172e69e8edd1001cbaecd7,اجاره آپارتمان یک خوابه نارنجستان 88,apartment,فارس,شیراز,29.63123633148287,52.593190893530846,city,personalRoom,100.0,1.0,1.0,1.0,0.0,preApprove,10.0,4.0,3.0,5.0,12000000.0,0.0,12000000.0
65c3c8081cfd1b001bb84e2d,اجاره آپارتمان دوخوابه درفام - واحد 202,apartment,فارس,شیراز,29.621965498687743,52.537907883524895,city,personalRoom,85.0,2.0,1.0,1.0,1.0,preApprove,2.0,5.0,4.0,4.0,20000000.0,0.0,20000000.0
65abdad2340511001b9f3905,اجاره آپارتمان دوخوابه بهاران واحد 4 معالی آباد,apartment,فارس,شیراز,29.67289645260124,52.455731046991666,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,8.0,4.3,4.0,1.0,15000000.0,0.0,15000000.0
64fef46251dd55001b70d84c,اجاره آپارتمان دوخوابه چهل مقام 1,apartment,فارس,شیراز,29.625160695308043,52.56283197551966,city,unitRoom,100.0,2.0,1.0,1.0,1.0,preApprove,17.0,4.8,4.0,3.0,20000000.0,0.0,20000000.0
6321b7efa446ba001badafd2,اجاره آپارتمان دوخوابه فرهنگ شهر 42,apartment,فارس,شیراز,29.665625093204365,52.4569058418274,city,personalRoom,105.0,2.0,1.0,1.0,1.0,preApprove,16.0,4.7,4.0,0.0,24000000.0,5.0,22800000.0
65ed7d089de976001b022889,اجاره آپارتمان دوخوابه صنایع 3,apartment,فارس,شیراز,29.698645246207956,52.46201645582914,city,personalRoom,90.0,2.0,1.0,1.0,1.0,instant,2.0,4.0,4.0,3.0,18000000.0,0.0,18000000.0
65e33e30bdee83001bfc864d,اجاره آپارتمان سه خوابه همت۲,apartment,فارس,شیراز,29.635790413951412,52.46067065745592,city,personalRoom,120.0,3.0,1.0,1.0,1.0,preApprove,2.0,5.0,6.0,2.0,25000000.0,0.0,25000000.0
65abf31925ce82001b8c0099,اجاره آپارتمان سه خوابه جمهوری واحد ۳,apartment,فارس,شیراز,29.634715078051507,52.550744600594044,city,personalRoom,140.0,3.0,1.0,1.0,1.0,preApprove,8.0,4.6,5.0,1.0,28000000.0,0.0,28000000.0
60a375e54b26bc001b91a4c4,اجاره آپارتمان سه خوابه هجرت - واحد 205,apartment,فارس,شیراز,29.621649266931968,52.54827059805393,city,personalRoom,120.0,3.0,1.0,1.0,0.0,instant,30.0,4.3,6.0,0.0,29000000.0,0.0,29000000.0
656e53a35f05cc001cadde9d,آپارتمان سه خوابه یاقوت,apartment,فارس,شیراز,29.63373998034231,52.54948798567057,city,personalRoom,150.0,3.0,1.0,1.0,1.0,preApprove,0.0,0.0,6.0,1.0,18000000.0,0.0,18000000.0
640c42cdf04da1001ce212cb,اجاره آپارتمان فلت همت ۵۰,apartment,فارس,شیراز,29.634825,52.461548,city,personalRoom,50.0,0.0,1.0,0.0,1.0,preApprove,7.0,4.3,2.0,1.0,11000000.0,0.0,11000000.0
65928c3a020904001b37cb0a,اجاره آپارتمان یک خوابه لیدما,apartment,فارس,شیراز,29.712999792626576,52.44691126048565,city,personalRoom,120.0,1.0,1.0,1.0,1.0,preApprove,1.0,5.0,4.0,0.0,30000000.0,0.0,30000000.0
